"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","User API","0","0","User creation","0"
"0","","1","Cart API","0","0","Change item in cart","0"
"0","","1","User API","0","0","Update user password","0"
"0","","1","User API","0","0","User list offset","0"
"0","","0","User API","0","1","Update user avatar","0"
"0","","1","Cart API","0","0","Get cart","0"
"0","","1","Wishlist API","0","0","Duplicate item in wishlist","0"
"0","","1","Categories API","0","0","Get games by category","0"
"0","","1","Cart API","0","0","Flush users cart","0"
"0","","1","Orders API","0","0","Change order status","0"
"0","","1","User API","0","0","Update user partially","0"
"0","","1","User API","0","0","User list","0"
"0","","1","Games API","0","0","Get a game by uuid","0"
"0","","1","Wishlist API","0","0","Add item to wishlist","0"
"0","","1","Orders API","0","0","Limit list user's orders","0"
"0","","1","User API","0","0","Get user","0"
"0","","1","Cart API","0","0","Remove an item from cart","0"
"0","","1","Wishlist API","0","0","Remove item from wishlist","0"
"0","","1","User API","0","0","Delete user","0"
"0","","2","Orders API","0","0","Duplicate item in order","0"
"0","","1","User API","0","0","Authenticate user","0"
"0","","1","Games API","0","0","Search games","0"
"0","","1","User API","0","0","Create user","0"
