"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2932","test_change_item[api-13]","tests.endpoints","Sun Dec 01 20:48:36 GMT 2024","passed","Sun Dec 01 20:48:39 GMT 2024","","test_cart","",""
"","3070","test_add_item_wishlist[api-5]","tests.endpoints","Sun Dec 01 20:48:25 GMT 2024","passed","Sun Dec 01 20:48:28 GMT 2024","","test_wishlist","",""
"","662","test_user_create[api-22]","tests.endpoints","Sun Dec 01 20:48:31 GMT 2024","passed","Sun Dec 01 20:48:32 GMT 2024","","test_users","",""
"","1140","test_get_single_user[api-23]","tests.endpoints","Sun Dec 01 20:48:32 GMT 2024","passed","Sun Dec 01 20:48:33 GMT 2024","","test_users","",""
"","841","test_total_users[api-21]","tests.endpoints","Sun Dec 01 20:48:26 GMT 2024","passed","Sun Dec 01 20:48:26 GMT 2024","","test_users","",""
"","531","test_get_games[03dbad48-ad81-433d-9901-dd5332f5d9ee-api-9]","tests.endpoints","Sun Dec 01 20:48:36 GMT 2024","passed","Sun Dec 01 20:48:36 GMT 2024","","test_games","",""
"","1703","test_total_users_amount[5-api-6]","tests.endpoints","Sun Dec 01 20:48:26 GMT 2024","passed","Sun Dec 01 20:48:28 GMT 2024","","test_users","",""
"","3538","test_change_order_status[canceled-api-18]","tests.endpoints","Sun Dec 01 20:48:32 GMT 2024","passed","Sun Dec 01 20:48:35 GMT 2024","","test_orders","",""
"","4186","test_orders_limit[api-17]","tests.endpoints","Sun Dec 01 20:48:27 GMT 2024","passed","Sun Dec 01 20:48:32 GMT 2024","","test_orders","",""
"","1828","test_update_userpwd_and_login[api-24]","tests.endpoints","Sun Dec 01 20:48:33 GMT 2024","passed","Sun Dec 01 20:48:35 GMT 2024","","test_users","",""
"","2881","test_flush_cart[api-15]","tests.endpoints","Sun Dec 01 20:48:33 GMT 2024","passed","Sun Dec 01 20:48:36 GMT 2024","","test_cart","",""
"","2274","test_add_duplicate_item_wishlist[api-25]","tests.endpoints","Sun Dec 01 20:48:32 GMT 2024","passed","Sun Dec 01 20:48:35 GMT 2024","","test_wishlist","",""
"","802","test_search_category_games[8126d35b-5336-41ad-981d-f245c3e05665-api-10]","tests.endpoints","Sun Dec 01 20:48:35 GMT 2024","passed","Sun Dec 01 20:48:36 GMT 2024","","test_categories","",""
"","4582","test_delete_item[api-14]","tests.endpoints","Sun Dec 01 20:48:28 GMT 2024","passed","Sun Dec 01 20:48:33 GMT 2024","","test_cart","",""
"","581","test_delete_nonexisting_user[api-1]","tests.endpoints","Sun Dec 01 20:48:28 GMT 2024","passed","Sun Dec 01 20:48:29 GMT 2024","","test_users","",""
"","712","test_search_games[Atomic Heart-api-2]","tests.endpoints","Sun Dec 01 20:48:35 GMT 2024","passed","Sun Dec 01 20:48:36 GMT 2024","","test_games","",""
"","0","test_update_avatar[api-11]","tests.endpoints","Sun Dec 01 20:48:35 GMT 2024","skipped","Sun Dec 01 20:48:35 GMT 2024","","test_avatar","",""
"","2633","test_add_item_wishlist[api-16]","tests.endpoints","Sun Dec 01 20:48:25 GMT 2024","passed","Sun Dec 01 20:48:27 GMT 2024","","test_orders","",""
"","3552","test_validate_payment[api-19]","tests.endpoints","Sun Dec 01 20:48:35 GMT 2024","passed","Sun Dec 01 20:48:38 GMT 2024","","test_payments","",""
"","891","test_create_user_nick_used[api-3]","tests.endpoints","Sun Dec 01 20:48:25 GMT 2024","passed","Sun Dec 01 20:48:26 GMT 2024","","test_users","",""
"","1252","test_login[d4@l.66d-""HA""R""HA""R-api-7]","tests.endpoints","Sun Dec 01 20:48:30 GMT 2024","passed","Sun Dec 01 20:48:31 GMT 2024","","test_users","",""
"","4521","test_remove_item_wishlist[api-8]","tests.endpoints","Sun Dec 01 20:48:28 GMT 2024","passed","Sun Dec 01 20:48:32 GMT 2024","","test_wishlist","",""
"","3475","test_get_cart[api-12]","tests.endpoints","Sun Dec 01 20:48:25 GMT 2024","passed","Sun Dec 01 20:48:28 GMT 2024","","test_cart","",""
"","1389","test_update_user_email_already_exist[api-4]","tests.endpoints","Sun Dec 01 20:48:29 GMT 2024","passed","Sun Dec 01 20:48:30 GMT 2024","","test_users","",""
