"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Games API","Get a game by uuid","1","0","0","0","0"
"","Orders API","Change order status","1","0","0","0","0"
"","Cart API","Remove an item from cart","1","0","0","0","0"
"","Cart API","Get cart","1","0","0","0","0"
"","Wishlist API","Duplicate item in wishlist","1","0","0","0","0"
"","User API","Authenticate user","1","0","0","0","0"
"","Orders API","Duplicate item in order","2","0","0","0","0"
"","User API","User list offset","1","0","0","0","0"
"","Cart API","Flush users cart","1","0","0","0","0"
"","Games API","Search games","1","0","0","0","0"
"","Cart API","Change item in cart","1","0","0","0","0"
"","User API","Create user","1","0","0","0","0"
"","User API","Update user password","1","0","0","0","0"
"","User API","Get user","1","0","0","0","0"
"","Orders API","Limit list user's orders","1","0","0","0","0"
"","Wishlist API","Remove item from wishlist","1","0","0","0","0"
"","User API","User creation","1","0","0","0","0"
"","User API","Delete user","1","0","0","0","0"
"","User API","Update user partially","1","0","0","0","0"
"","User API","User list","1","0","0","0","0"
"","Wishlist API","Add item to wishlist","1","0","0","0","0"
